"","lon","lat","coord","cover","Region","Realm"
"18108",-72.5,-39.5,"-72.5_-39.5",1,"South American","Neotropical"
"18109",-71.5,-39.5,"-71.5_-39.5",1,"South American","Neotropical"
"18110",-70.5,-39.5,"-70.5_-39.5",1,"South American","Neotropical"
"18111",-69.5,-39.5,"-69.5_-39.5",1,"South American","Neotropical"
"18112",-68.5,-39.5,"-68.5_-39.5",1,"South American","Neotropical"
"18113",-67.5,-39.5,"-67.5_-39.5",1,"South American","Neotropical"
"18114",-66.5,-39.5,"-66.5_-39.5",1,"South American","Neotropical"
"18115",-65.5,-39.5,"-65.5_-39.5",1,"South American","Neotropical"
"18116",-64.5,-39.5,"-64.5_-39.5",1,"South American","Neotropical"
"18117",-63.5,-39.5,"-63.5_-39.5",1,"South American","Neotropical"
"18118",-62.5,-39.5,"-62.5_-39.5",0.82,"South American","Neotropical"
"18119",-61.5,-39.5,"-61.5_-39.5",0.04,"South American","Neotropical"
"18324",143.5,-39.5,"143.5_-39.5",0.08,"Australian","Australian"
"18325",144.5,-39.5,"144.5_-39.5",0.04,"Australian","Australian"
"18327",146.5,-39.5,"146.5_-39.5",0.01,"Australian","Australian"
"18328",147.5,-39.5,"147.5_-39.5",0.07,"Australian","Australian"
"18329",148.5,-39.5,"148.5_-39.5",0.03,"Australian","Australian"
"18354",173.5,-39.5,"173.5_-39.5",0.1,"Novozelandic","Australian"
"18355",174.5,-39.5,"174.5_-39.5",0.74,"Novozelandic","Australian"
"18356",175.5,-39.5,"175.5_-39.5",1,"Novozelandic","Australian"
"18357",176.5,-39.5,"176.5_-39.5",0.95,"Novozelandic","Australian"
"18358",177.5,-39.5,"177.5_-39.5",0.13,"Novozelandic","Australian"
"18467",-73.5,-38.5,"-73.5_-38.5",0.47,"South American","Neotropical"
"18468",-72.5,-38.5,"-72.5_-38.5",1,"South American","Neotropical"
"18469",-71.5,-38.5,"-71.5_-38.5",1,"South American","Neotropical"
"18470",-70.5,-38.5,"-70.5_-38.5",1,"South American","Neotropical"
"18471",-69.5,-38.5,"-69.5_-38.5",1,"South American","Neotropical"
"18472",-68.5,-38.5,"-68.5_-38.5",1,"South American","Neotropical"
"18473",-67.5,-38.5,"-67.5_-38.5",1,"South American","Neotropical"
"18474",-66.5,-38.5,"-66.5_-38.5",1,"South American","Neotropical"
"18475",-65.5,-38.5,"-65.5_-38.5",1,"South American","Neotropical"
"18476",-64.5,-38.5,"-64.5_-38.5",1,"South American","Neotropical"
"18477",-63.5,-38.5,"-63.5_-38.5",1,"South American","Neotropical"
"18478",-62.5,-38.5,"-62.5_-38.5",0.96,"South American","Neotropical"
"18479",-61.5,-38.5,"-61.5_-38.5",1,"South American","Neotropical"
"18480",-60.5,-38.5,"-60.5_-38.5",0.95,"South American","Neotropical"
"18481",-59.5,-38.5,"-59.5_-38.5",0.79,"South American","Neotropical"
"18482",-58.5,-38.5,"-58.5_-38.5",0.54,"South American","Neotropical"
"18483",-57.5,-38.5,"-57.5_-38.5",0.13,"South American","Neotropical"
"18682",141.5,-38.5,"141.5_-38.5",0.23,"Australian","Australian"
"18683",142.5,-38.5,"142.5_-38.5",0.41,"Australian","Australian"
"18684",143.5,-38.5,"143.5_-38.5",0.68,"Australian","Australian"
"18685",144.5,-38.5,"144.5_-38.5",0.22,"Australian","Australian"
"18686",145.5,-38.5,"145.5_-38.5",0.49,"Australian","Australian"
"18687",146.5,-38.5,"146.5_-38.5",0.71,"Australian","Australian"
"18688",147.5,-38.5,"147.5_-38.5",0.13,"Australian","Australian"
"18715",174.5,-38.5,"174.5_-38.5",0.36,"Novozelandic","Australian"
"18716",175.5,-38.5,"175.5_-38.5",1,"Novozelandic","Australian"
"18717",176.5,-38.5,"176.5_-38.5",1,"Novozelandic","Australian"
"18718",177.5,-38.5,"177.5_-38.5",0.97,"Novozelandic","Australian"
"18719",178.5,-38.5,"178.5_-38.5",0.18,"Novozelandic","Australian"
"18827",-73.5,-37.5,"-73.5_-37.5",0.53,"South American","Neotropical"
"18828",-72.5,-37.5,"-72.5_-37.5",1,"South American","Neotropical"
"18829",-71.5,-37.5,"-71.5_-37.5",1,"South American","Neotropical"
"18830",-70.5,-37.5,"-70.5_-37.5",1,"South American","Neotropical"
"18831",-69.5,-37.5,"-69.5_-37.5",1,"South American","Neotropical"
"18832",-68.5,-37.5,"-68.5_-37.5",1,"South American","Neotropical"
"18833",-67.5,-37.5,"-67.5_-37.5",1,"South American","Neotropical"
"18834",-66.5,-37.5,"-66.5_-37.5",1,"South American","Neotropical"
"18835",-65.5,-37.5,"-65.5_-37.5",1,"South American","Neotropical"
"18836",-64.5,-37.5,"-64.5_-37.5",1,"South American","Neotropical"
"18837",-63.5,-37.5,"-63.5_-37.5",1,"South American","Neotropical"
"18838",-62.5,-37.5,"-62.5_-37.5",1,"South American","Neotropical"
"18839",-61.5,-37.5,"-61.5_-37.5",1,"South American","Neotropical"
"18840",-60.5,-37.5,"-60.5_-37.5",1,"South American","Neotropical"
"18841",-59.5,-37.5,"-59.5_-37.5",1,"South American","Neotropical"
"18842",-58.5,-37.5,"-58.5_-37.5",1,"South American","Neotropical"
"18843",-57.5,-37.5,"-57.5_-37.5",0.8,"South American","Neotropical"
"18844",-56.5,-37.5,"-56.5_-37.5",0.04,"South American","Neotropical"
"18888",-12.5,-37.5,"-12.5_-37.5",0.01,"South American","Neotropical"
"19040",139.5,-37.5,"139.5_-37.5",0.09,"Australian","Australian"
"19041",140.5,-37.5,"140.5_-37.5",0.85,"Australian","Australian"
"19042",141.5,-37.5,"141.5_-37.5",1,"Australian","Australian"
"19043",142.5,-37.5,"142.5_-37.5",1,"Australian","Australian"
"19044",143.5,-37.5,"143.5_-37.5",1,"Australian","Australian"
"19045",144.5,-37.5,"144.5_-37.5",0.96,"Australian","Australian"
"19046",145.5,-37.5,"145.5_-37.5",1,"Australian","Australian"
"19047",146.5,-37.5,"146.5_-37.5",1,"Australian","Australian"
"19048",147.5,-37.5,"147.5_-37.5",0.97,"Australian","Australian"
"19049",148.5,-37.5,"148.5_-37.5",0.78,"Australian","Australian"
"19050",149.5,-37.5,"149.5_-37.5",0.59,"Australian","Australian"
"19075",174.5,-37.5,"174.5_-37.5",0.24,"Novozelandic","Australian"
"19076",175.5,-37.5,"175.5_-37.5",0.9,"Novozelandic","Australian"
"19077",176.5,-37.5,"176.5_-37.5",0.25,"Novozelandic","Australian"
"19078",177.5,-37.5,"177.5_-37.5",0.17,"Novozelandic","Australian"
"19079",178.5,-37.5,"178.5_-37.5",0.2,"Novozelandic","Australian"
"19187",-73.5,-36.5,"-73.5_-36.5",0.04,"South American","Neotropical"
"19188",-72.5,-36.5,"-72.5_-36.5",0.9,"South American","Neotropical"
"19189",-71.5,-36.5,"-71.5_-36.5",1,"South American","Neotropical"
"19190",-70.5,-36.5,"-70.5_-36.5",1,"South American","Neotropical"
"19191",-69.5,-36.5,"-69.5_-36.5",1,"South American","Neotropical"
"19192",-68.5,-36.5,"-68.5_-36.5",1,"South American","Neotropical"
"19193",-67.5,-36.5,"-67.5_-36.5",1,"South American","Neotropical"
"19194",-66.5,-36.5,"-66.5_-36.5",1,"South American","Neotropical"
"19195",-65.5,-36.5,"-65.5_-36.5",1,"South American","Neotropical"
"19196",-64.5,-36.5,"-64.5_-36.5",1,"South American","Neotropical"
"19197",-63.5,-36.5,"-63.5_-36.5",1,"South American","Neotropical"
"19198",-62.5,-36.5,"-62.5_-36.5",1,"South American","Neotropical"
"19199",-61.5,-36.5,"-61.5_-36.5",1,"South American","Neotropical"
"19200",-60.5,-36.5,"-60.5_-36.5",1,"South American","Neotropical"
"19201",-59.5,-36.5,"-59.5_-36.5",1,"South American","Neotropical"
"19202",-58.5,-36.5,"-58.5_-36.5",1,"South American","Neotropical"
"19203",-57.5,-36.5,"-57.5_-36.5",0.91,"South American","Neotropical"
"19204",-56.5,-36.5,"-56.5_-36.5",0.19,"South American","Neotropical"
"19397",136.5,-36.5,"136.5_-36.5",0.03,"Australian","Australian"
"19398",137.5,-36.5,"137.5_-36.5",0.03,"Australian","Australian"
"19400",139.5,-36.5,"139.5_-36.5",0.28,"Australian","Australian"
"19401",140.5,-36.5,"140.5_-36.5",1,"Australian","Australian"
"19402",141.5,-36.5,"141.5_-36.5",1,"Australian","Australian"
"19403",142.5,-36.5,"142.5_-36.5",1,"Australian","Australian"
"19404",143.5,-36.5,"143.5_-36.5",1,"Australian","Australian"
"19405",144.5,-36.5,"144.5_-36.5",1,"Australian","Australian"
"19406",145.5,-36.5,"145.5_-36.5",1,"Australian","Australian"
"19407",146.5,-36.5,"146.5_-36.5",1,"Australian","Australian"
"19408",147.5,-36.5,"147.5_-36.5",1,"Australian","Australian"
"19409",148.5,-36.5,"148.5_-36.5",1,"Australian","Australian"
"19410",149.5,-36.5,"149.5_-36.5",0.97,"Australian","Australian"
"19411",150.5,-36.5,"150.5_-36.5",0.03,"Australian","Australian"
"19434",173.5,-36.5,"173.5_-36.5",0.03,"Novozelandic","Australian"
"19435",174.5,-36.5,"174.5_-36.5",0.47,"Novozelandic","Australian"
"19436",175.5,-36.5,"175.5_-36.5",0.23,"Novozelandic","Australian"
"19548",-72.5,-35.5,"-72.5_-35.5",0.48,"South American","Neotropical"
"19549",-71.5,-35.5,"-71.5_-35.5",1,"South American","Neotropical"
"19550",-70.5,-35.5,"-70.5_-35.5",1,"South American","Neotropical"
"19551",-69.5,-35.5,"-69.5_-35.5",1,"South American","Neotropical"
"19552",-68.5,-35.5,"-68.5_-35.5",1,"South American","Neotropical"
"19553",-67.5,-35.5,"-67.5_-35.5",1,"South American","Neotropical"
"19554",-66.5,-35.5,"-66.5_-35.5",1,"South American","Neotropical"
"19555",-65.5,-35.5,"-65.5_-35.5",1,"South American","Neotropical"
